Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:26:23.599;2025/01/24 03:26:26.617;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:27:05.880;2025/01/24 03:27:53.161;00:00:47;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:30:04.993;2025/01/24 03:30:37.225;00:00:32;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:31:07.400;2025/01/24 03:31:17.475;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:32:05.710;2025/01/24 03:32:27.853;00:00:22;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:33:29.259;2025/01/24 03:33:48.368;00:00:19;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:36:01.115;2025/01/24 03:36:08.146;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:37:42.775;2025/01/24 03:37:48.834;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:38:18.975;2025/01/24 03:38:23.008;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:41:24.197;2025/01/24 03:41:59.406;00:00:35;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:42:37.623;2025/01/24 03:42:41.652;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:43:40.979;2025/01/24 03:43:47.011;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:44:59.464;2025/01/24 03:45:00.465;00:00:01;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:46:32.013;2025/01/24 03:46:47.093;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:49:33.046;2025/01/24 03:49:35.060;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:51:33.732;2025/01/24 03:52:03.858;00:00:30;
